問題文,解答
(コンパイラが行う処理→プログラム中の文や関数)対応する機械語の命令語に変換,演算式，代入文，判断分岐文
(プログラム中の文や関数→コンパイラが行う処理)変数宣言,プログラム内での番地を決定
(プログラム中の文や関数→コンパイラが行う処理)サブルーティン、関数、ライブラリ関数,呼び出しを認識し、受け渡すパラメータと合わせて、呼び出し系列として記述される
"(リンカが関係する部分を選べ)float x; / x=x+1; / printf(""%f\n"",x);","printf(""%f\n"",x);の部分 / 機械語のプログラムをライブラリから持ってきて、プログラムと結合"
"(コンパイラはどのような処理を行うか) double degree,radian,PI,x,y;","メモリ上に，degree, radian, PI, x, y の 5 つの変数について，double 型で必要な領域を確保する．"
(コンパイラはどのような処理をするか)radian=PI*degree/180.0; ,PI*degree/180.0 を演算し，radian に代入する機械語命令に変換する．
(コンパイラはどのような処理をするか)x=cos(radian);,radian を引数として cos 関数を呼び出す，呼び出し系列への変換と その結果を変数 y に代入する機械語命令へ変換を行う．
"(コンパイラはどのような処理をするか)printf(""cos(%5.2lf)=%lf\n"",degree,x);","""cos(%5.2lf)=%lf\n""と degree と x の 3 つを引数とする printf 関数の呼び出し系列へ変換する．"
リンカとはどのようなものか,"上記プログラムをコンパイル後に生成されるオブジェクトプログラムでは，上記の関数部分は呼び出し系列になってお
り，cos 関数，sin 関数，printf 関数の処理部分は含まれていない.
リンカは，この cos 関数，sin 関数，printf 関数について，ライブラリから cos, sin, printf のオブジェクトプログラムを取り出
して上記のオブジェクトプログラムと結合し，１つのロードプログラムとして生成する．"
ライブラリとは何か, 前もってシステムに用意されている各種の再利用可能な オブジェクトプログラムモジュール群
モジュールとは何か," ソフトウェアの世界では，まとまった仕事をする機能単位で 、
その仕事を行うために必要な1個以上のルーチンが集まっ たもの．"
計算数値ライブラリとは,"cos,sinのように、計算を行う関数のライブラリ"
静的リンクとは," プログラム実行前にすべてのものを結合する
 必要とする主記憶量が多い
 参照される可能性のある全てのものが結合される"
動的リンクとは," プログラム実行中に，必要に応じて，参照された時点で結合する方式
 実行途中の結果に応じて，その時々に必要なものだけが結合
 必要とする主記憶量は少ない"
"静的リンクと動的リンクとの違い
if x=0
then proc_a
else proc_b","静的リンクではproc_a,b両方を結合
動的リンクでは、xの値に応じてリンクする"
モジュールの共有において、静的リンクと動的リンクの違いを説明,"動的リンクの場合、それぞれでモジュールの更新が必要
静的リンクの場合、共有するモジュールの更新のみで十分"
